iter	Passed	Remaining
0	127	3692
1	186	2610
2	246	2216
3	305	1982
4	364	1823
5	424	1698
6	481	1580
7	541	1489
8	596	1392
9	658	1316
10	715	1235
11	771	1157
12	828	1083
13	890	1017
14	948	948
15	1006	880
16	1063	813
17	1119	746
18	1178	682
19	1237	618
20	1293	554
21	1349	490
22	1406	428
23	1466	366
24	1525	305
25	1583	243
26	1644	182
27	1703	121
28	1758	60
29	1816	0
