iter	Passed	Remaining
145	459633	1114453
146	461876	1109131
147	464069	1103733
148	466357	1098600
149	468632	1093476
150	471047	1088711
151	473330	1083676
152	475423	1078247
153	477725	1073330
154	479915	1068198
155	482435	1063832
156	484587	1058683
157	486985	1054107
158	489130	1049015
159	493482	1048650
160	495698	1043738
161	497839	1038701
162	499960	1033659
163	502124	1028743
164	504327	1023938
165	506510	1019124
166	508748	1014450
167	511027	1009888
168	513146	1005039
169	515456	1000592
170	517711	996064
171	519990	991609
172	522282	987204
173	524501	982687
174	526823	978386
175	529472	974711
176	531659	970204
177	533818	965671
178	535997	961201
179	540240	960427
180	542379	955905
181	544505	951388
182	546650	946930
183	548908	942690
184	551027	938236
185	553441	934303
186	555632	930016
187	557871	925829
188	560172	921765
189	562509	917777
190	564907	913908
191	567028	909607
192	569347	905646
193	571467	901386
194	573632	897220
195	576181	893669
196	578766	890183
197	582253	888084
198	584869	884651
199	587300	880950
200	589786	877344
201	591996	873341
202	594261	869436
203	596684	865777
204	599063	862066
205	601415	858331
206	603798	854652
207	606685	851693
208	609283	848332
209	613229	846840
210	615928	843617
211	618770	840594
212	621826	837859
213	624627	834782
214	627459	831748
215	629992	828323
216	632607	825012
217	635237	821729
218	637737	818284
219	640413	815071
220	642793	811490
221	645368	808164
222	647830	804704
223	650267	801222
224	652921	798015
225	655749	795023
226	658270	791664
227	660676	788176
228	663235	784876
229	665832	781629
230	668432	778390
231	670943	775054
232	673412	771679
233	675914	768347
234	678414	765021
235	681027	761826
236	683888	758914
237	686493	755720
238	689276	752724
239	691988	749654
240	694750	746641
241	697711	743840
242	700646	741013
243	704761	739421
244	708001	736899
245	711261	734392
246	714595	731954
247	718769	730362
248	722439	728241
249	725944	725944
250	729517	723704
251	733134	721497
252	736809	719335
253	740387	717068
254	744325	715136
255	747906	712848
256	751425	710491
257	754964	708145
258	758465	705753
259	762004	703388
260	765492	700968
261	768939	698502
262	772391	696033
263	775851	693564
264	779208	690996
265	782579	688434
266	786032	685938
267	789355	683323
268	792699	680719
269	796089	678150
270	799407	675514
271	802719	672868
272	806150	670315
273	809519	667705
274	812842	665052
275	816279	662487
276	819544	659777
277	823030	657240
278	826331	654549
279	829757	651951
280	832947	649165
281	836349	646540
282	839622	643809
283	842879	641063
284	846136	638313
285	849613	635724
286	853277	633268
287	856758	630669
288	860136	627988
289	863520	625307
290	866960	622662
291	870264	619914
292	873672	617236
293	876999	614496
294	880435	611828
295	883827	609124
296	887087	606325
297	890439	603586
298	893853	600885
299	897323	598215
300	900610	595420
301	904155	592790
302	907448	589991
303	910809	587232
304	914204	584491
305	917453	581653
306	921010	579006
307	924433	576270
308	927775	573479
309	931166	570714
310	934592	567967
311	937959	565180
312	941278	562360
313	944668	559580
314	947854	556676
315	951184	553854
316	954574	551063
317	957924	548246
318	961114	545334
319	964517	542540
320	967858	539709
321	971175	536861
322	974544	534038
323	977859	531182
324	981330	528408
325	984881	525673
326	988213	522816
327	991639	520005
328	995006	517161
329	998385	514319
330	1001897	511542
331	1005444	508779
332	1008964	505997
333	1012886	503410
334	1016411	500620
335	1020040	497877
336	1023482	495037
337	1027379	492412
338	1031217	489752
339	1034747	486940
340	1038414	484187
341	1041630	481221
342	1045081	478360
343	1048598	475527
344	1052109	472687
345	1055576	469823
346	1059049	466958
347	1062534	464095
348	1066020	461229
349	1069385	458307
350	1072876	455437
351	1076382	452569
352	1079910	449707
353	1083294	446782
354	1086625	443833
355	1090176	440970
356	1093602	438053
357	1096988	435118
358	1100276	432142
359	1103485	429133
360	1107464	426420
361	1110762	423439
362	1114387	420581
363	1118083	417745
364	1121764	414899
365	1125213	411963
366	1128659	409023
367	1132121	406086
368	1135634	403165
369	1139159	400245
370	1142510	397261
371	1145956	394307
372	1149557	391404
373	1153175	388502
374	1156608	385536
375	1160116	382591
376	1163606	379638
377	1167155	376700
378	1170854	373808
379	1174407	370865
380	1177973	367923
381	1181870	365080
382	1185567	362170
383	1189203	359238
384	1201617	358924
385	1212223	358014
386	1216630	355243
387	1220436	352290
388	1225333	349645
389	1229086	346665
390	1232949	343712
391	1236617	340700
392	1240280	337684
393	1243874	334646
394	1247538	331624
395	1251130	328579
396	1254651	325514
397	1258868	322624
398	1262242	319514
399	1265674	316418
400	1269719	313471
401	1273450	310443
402	1276950	307355
403	1280399	304253
404	1283960	301175
405	1287532	298098
406	1291394	295085
407	1295039	292018
408	1299397	289108
409	1302920	286006
410	1306133	282836
411	1309405	279678
412	1312607	276505
413	1315794	273329
414	1318898	270135
415	1321918	266925
416	1325053	263739
417	1328780	260669
418	1331923	257483
419	1335008	254287
420	1338075	251087
421	1340984	247859
422	1343913	244636
423	1346928	241430
424	1349878	238213
425	1352968	235022
426	1356194	231855
427	1359260	228660
428	1362317	225465
429	1365489	222288
430	1368581	219100
431	1371821	215934
432	1375151	212783
433	1378302	209603
434	1381417	206418
435	1384624	203247
436	1387797	200071
437	1391094	196912
438	1394465	193764
439	1397814	190611
440	1400928	187425
441	1404207	184262
442	1407469	181096
443	1410714	177927
444	1413988	174762
445	1417300	171601
446	1420725	168452
447	1424060	165292
448	1427445	162137
449	1430719	158968
450	1433973	155797
451	1437143	152616
452	1440398	149445
453	1443751	146283
454	1446897	143099
455	1450244	139935
456	1453544	136766
457	1456814	133594
458	1460158	130428
459	1463570	127266
460	1466827	124091
461	1470069	120914
462	1473452	117748
463	1476690	114570
464	1479984	111396
465	1483231	108218
466	1486559	105045
467	1489859	101870
468	1493316	98705
469	1496831	95542
470	1500116	92363
471	1503474	89189
472	1506971	86021
473	1510169	82836
474	1513550	79660
475	1516684	76471
476	1519933	73288
477	1523232	70106
478	1526637	66929
479	1529764	63740
480	1532979	60554
481	1536237	57369
482	1539451	54183
483	1542843	51003
484	1546118	47818
485	1549334	44631
486	1552674	41447
487	1555989	38262
488	1559306	35076
489	1562554	31888
490	1565849	28701
491	1569247	25516
492	1572481	22327
493	1575651	19137
494	1578962	15949
495	1582247	12760
496	1585498	9570
497	1588779	6380
498	1592153	3190
499	1595427	0
