iter	MultiClass
288	2.090812251
289	2.09063625
290	2.090567052
291	2.090443323
292	2.090345469
293	2.090234484
294	2.090079487
295	2.089936813
296	2.089821678
297	2.0895707
298	2.089494429
299	2.089328053
300	2.089242698
301	2.089094795
302	2.088971351
303	2.088813515
304	2.088653432
305	2.08854225
306	2.08846975
307	2.088356473
308	2.088249508
309	2.088118918
310	2.088026223
311	2.087873595
312	2.087674519
313	2.087396244
314	2.087304369
315	2.087113646
316	2.086996654
317	2.086873706
318	2.086777829
319	2.086673579
320	2.086568022
321	2.086415286
322	2.086278969
323	2.086014495
324	2.085891333
325	2.085780425
326	2.085618729
327	2.085495549
328	2.085372623
329	2.085308012
330	2.085200819
331	2.085021892
332	2.084912755
333	2.084797443
334	2.084679359
335	2.08454946
336	2.084421502
337	2.084321668
338	2.084166622
339	2.083959741
340	2.083902132
341	2.083798305
342	2.083656593
343	2.083583474
344	2.08343862
345	2.083299091
346	2.083115828
347	2.082956144
348	2.082871357
349	2.082659104
350	2.082575715
351	2.082411876
352	2.082328267
353	2.082245204
354	2.082132283
355	2.082008922
356	2.081891766
357	2.081739969
358	2.081607874
359	2.081452602
360	2.081378885
361	2.081307999
362	2.081239106
363	2.081151429
364	2.081088056
365	2.080965007
366	2.080879936
367	2.080794872
368	2.080641266
369	2.08056247
370	2.08039593
371	2.080253164
372	2.080153808
373	2.080027267
374	2.079858319
375	2.07974581
376	2.079564479
377	2.079441346
378	2.07928833
379	2.079078612
380	2.078987074
381	2.078890569
382	2.078780577
383	2.078695931
384	2.078594093
385	2.078506552
386	2.078378133
387	2.078270521
388	2.078052649
389	2.077901747
390	2.077754014
391	2.077668116
392	2.077610723
393	2.077501302
394	2.077374859
395	2.077213501
396	2.077072616
397	2.076925358
398	2.076813146
399	2.076727398
400	2.07658443
401	2.076499918
402	2.07640551
403	2.076324521
404	2.076224459
405	2.076116113
406	2.075988729
407	2.075898182
408	2.075801017
409	2.075644704
410	2.075496324
411	2.075409912
412	2.075284376
413	2.075115449
414	2.074992561
415	2.074819763
416	2.074747806
417	2.074579198
418	2.074443244
419	2.074305241
420	2.074218605
421	2.07406005
422	2.07395197
423	2.073777516
424	2.073645251
425	2.07354745
426	2.073461099
427	2.073377393
428	2.073240278
429	2.073115872
430	2.073009298
431	2.072938788
432	2.072846526
433	2.072793833
434	2.072681312
435	2.072588424
436	2.072472934
437	2.072395754
438	2.072328183
439	2.072216483
440	2.072120641
441	2.072012643
442	2.071907683
443	2.071780657
444	2.071614504
445	2.071524598
446	2.071421393
447	2.0712851
448	2.071185517
449	2.071025197
450	2.070910014
451	2.070769224
452	2.070640044
453	2.070534487
454	2.070408957
455	2.070308142
456	2.070186866
457	2.070021965
458	2.069902468
459	2.069826997
460	2.069728395
461	2.069590107
462	2.069521711
463	2.069404653
464	2.069284079
465	2.069179577
466	2.069092935
467	2.068972012
468	2.068856257
469	2.068772888
470	2.068667053
471	2.068553238
472	2.068460563
473	2.068348947
474	2.068280305
475	2.068121319
476	2.067972525
477	2.067906118
478	2.067820436
479	2.067683363
480	2.067580036
481	2.067476709
482	2.067395511
483	2.067308509
484	2.067227241
485	2.067127131
486	2.067072804
487	2.067012673
488	2.066906185
489	2.066814726
490	2.066730869
491	2.066666189
492	2.066570779
493	2.066447545
494	2.066303285
495	2.066183132
496	2.066063052
497	2.065943996
498	2.065820487
499	2.065727675
